Year,Week,Date & Time,Date,Favorite,Spread,Underdog,Total,Money Odds,home,away
2016,2,9/18 1:00 ET,9/18/2016,PIT,-3.00,CIN,48,-$170 +$150,PIT,CIN
2016,2,9/18 1:00 ET,9/18/2016,WAS,-3.00,DAL,47,-$180 +$160,WAS,DAL
2016,2,9/18 1:00 ET,9/18/2016,NYG,-4.00,NO,54.5,-$190 +$165,NYG,NO
2016,2,9/18 1:00 ET,9/18/2016,CAR,-12.50,SF,44.5,-$675 +$475,CAR,SF
2016,2,9/18 4:05 ET,9/18/2016,ARI,-7.00,TB,49.5,-$340 +$280,ARI,TB
2016,2,9/18 4:05 ET,9/18/2016,SEA,-5.50,LA,38,-$240 +$200,LA,SEA
2016,2,9/18 4:25 ET,9/18/2016,DEN,-6.00,IND,47,-$270 +$230,DEN,IND
2016,2,9/18 4:25 ET,9/18/2016,OAK,-4.00,ATL,48,-$200 +$175,OAK,ATL
2016,2,9/18 4:25 ET,9/18/2016,SD,-3.00,JAX,47.5,-$155 +$135,SD,JAX
2016,2,9/18 8:30 ET,9/18/2016,GB,-2.00,MIN,43,-$130 +$110,MIN,GB
2016,2,9/19 8:35 ET,9/19/2016,CHI,-3.00,PHI,43,-$160 +$140,CHI,PHI
2016,1,9/8 8:30 ET,9/8/2016,CAR,-3.00,DEN,40.5,-$160 +$140,DEN,CAR
2016,1,9/11 1:00 ET,9/11/2016,ATL,-2.50,TB,47,-$140 +$120,ATL,TB
2016,1,9/11 1:00 ET,9/11/2016,MIN,-2.50,TEN,40,-$140 +$120,TEN,MIN
2016,1,9/11 1:00 ET,9/11/2016,PHI,-3.50,CLE,41,-$190 +$165,PHI,CLE
2016,1,9/11 1:00 ET,9/11/2016,CIN,-1.00,NYJ,42,-$115  -$105,NYJ,CIN
2016,1,9/11 1:00 ET,9/11/2016,NO,-3.00,OAK,50.5,-$150 +$130,NO,OAK
2016,1,9/11 1:00 ET,9/11/2016,KC,-6.50,SD,46,-$300 +$250,KC,SD
2016,1,9/11 1:00 ET,9/11/2016,BAL,-3.00,BUF,44.5,-$160 +$140,BAL,BUF
2016,1,9/11 1:00 ET,9/11/2016,HOU,-5.50,CHI,42.5,-$250 +$210,HOU,CHI
