Year,Week,Date & Time,Date,Favorite,Spread,Underdog,Total,Money Odds,home,away
2016,7,10/23 1:00 ET,10/23/2016,At Cincinnati,-11.5,Cleveland,46.5,-$600 +$450,CIN,CLE
2016,7,10/23 1:00 ET,10/23/2016,Buffalo,-2.5,At Miami,46,-$140 +$120,MIA,BUF
2016,7,10/23 1:00 ET,10/23/2016,At Jacksonville,-2,Oakland,47.5,-$130 +$110,JAX,OAK
2016,7,10/23 1:00 ET,10/23/2016,At Tennessee,-4,Indianapolis,48.5,-$210 +$180,TEN,IND
2016,7,10/23 1:00 ET,10/23/2016,At NY Jets,-2,Baltimore,40.5,-$135 +$115,NYJ,BAL
2016,7,10/23 4:05 ET,10/23/2016,At Atlanta,-5,San Diego,53,-$225 +$195,ATL,SD
2016,7,10/23 4:05 ET,10/23/2016,At San Francisco,-1,Tampa Bay,45.5,-$120 +$100,SF,TB
2016,7,10/23 4:25 ET,10/23/2016,New England,-7.5,At Pittsburgh,49.5,-$340 +$280,PIT,NE
2016,7,10/23 8:30 ET,10/23/2016,At Arizona,-2.5,Seattle,43,-$135 +$115,ARI,SEA
2016,6,10/13 8:25 ET,10/13/2016,Denver,-3,At San Diego,44.5,-$155 +$135,SD,DEN
2016,6,10/16 1:00 ET,10/16/2016,At New England,-7.5,Cincinnati,48.5,-$370 +$310,NE,CIN
2016,6,10/16 1:00 ET,10/16/2016,At NY Giants,-3.5,Baltimore,42.5,-$190 +$165,NYG,BAL
2016,6,10/16 1:00 ET,10/16/2016,Carolina,-3,At New Orleans,54,-$145 +$125,NO,CAR
2016,6,10/16 1:00 ET,10/16/2016,Pittsburgh,-7.5,At Miami,49.5,-$350 +$290,MIA,PIT
2016,6,10/16 1:00 ET,10/16/2016,At Chicago,-2.5,Jacksonville,46,-$140 +$120,CHI,JAX
2016,6,10/16 1:00 ET,10/16/2016,At Buffalo,-7.5,San Francisco,44,-$340 +$280,BUF,SF
2016,6,10/16 1:00 ET,10/16/2016,At Detroit,-3,Los Angeles,44.5,-$145 +$125,DET,LA
2016,6,10/16 1:00 ET,10/16/2016,At Tennessee,-7.5,Cleveland,45,-$340 +$280,TEN,CLE
2016,6,10/16 1:00 ET,10/16/2016,Philadelphia,-3,At Washington,45,-$160 +$140,WAS,PHI
2016,6,10/16 4:05 ET,10/16/2016,Kansas City,-2,At Oakland,47,-$130 +$110,OAK,KC
2016,6,10/16 4:25 ET,10/16/2016,At Seattle,-7,Atlanta,45.5,-$290 +$240,SEA,ATL
2016,6,10/16 4:25 ET,10/16/2016,At Green Bay,-5,Dallas,47,-$240 +$200,GB,DAL
2016,6,10/16 8:30 ET,10/16/2016,At Houston,-3,Indianapolis,48,-$165 +$145,HOU,IND
2016,5,10/6 8:25 ET,10/6/2016,Arizona,-3.5,At San Francisco,42.5,-$195 +$170,SF,ARI
2016,5,10/9 1:00 ET,10/9/2016,At Minnesota,-6,Houston,38.5,-$265 +$225,MIN,HOU
2016,5,10/9 1:00 ET,10/9/2016,At Miami,-2.5,Tennessee,44,-$140 +$120,MIA,TEN
2016,5,10/9 1:00 ET,10/9/2016,New England,-10,At Cleveland,48,-$525 +$400,CLE,NE
2016,5,10/9 1:00 ET,10/9/2016,At Pittsburgh,-9.5,NY Jets,50,-$450 +$350,PIT,NYJ
2016,5,10/9 1:00 ET,10/9/2016,At Baltimore,-4,Washington,44.5,-$200 +$170,BAL,WAS
2016,5,10/9 1:00 ET,10/9/2016,Philadelphia,-3.5,At Detroit,46,-$180 +$160,DET,PHI
2016,5,10/9 1:00 ET,10/9/2016,At Indianapolis,-4,Chicago,47.5,-$200 +$175,IND,CHI
2016,5,10/9 4:05 ET,10/9/2016,At Denver,-4,Atlanta,44.5,-$195 +$175,DEN,ATL
2016,5,10/9 4:25 ET,10/9/2016,Buffalo,-2.5,At Los Angeles,41.5,-$140 +$120,LA,BUF
2016,5,10/9 4:25 ET,10/9/2016,At Oakland,-3.5,San Diego,51,-$185 +$165,OAK,SD
2016,5,10/9 4:25 ET,10/9/2016,Cincinnati,-2.5,At Dallas,45.5,-$140 +$120,DAL,CIN
2016,5,10/9 8:30 ET,10/9/2016,At Green Bay,-7,NY Giants,50,-$325 +$265,GB,NYG
2016,4,9/29 8:25 ET,9/29/2016,At Cincinnati,-7.5,Miami,46.5,-$360 +$300,CIN,MIA
2016,4,10/2/2017 9:30,10/2/2016,Indianapolis,-1,Jacksonville,48.5,-$115  -$105,JAX,IND
2016,4,10/2 1:00 ET,10/2/2016,At Washington,-7.5,Cleveland,48,-$350 +$290,WAS,CLE
2016,4,10/2 1:00 ET,10/2/2016,At New England,-3.5,Buffalo,41,-$190 +$170,NE,BUF
2016,4,10/2 1:00 ET,10/2/2016,Seattle,-1,At NY Jets,40,-$115  -$105,NYJ,SEA
2016,4,10/2 1:00 ET,10/2/2016,Carolina,-3,At Atlanta,48.5,-$155 +$135,ATL,CAR
2016,4,10/2 1:00 ET,10/2/2016,Detroit,-3.5,At Chicago,48,-$175 +$155,CHI,DET
2016,4,10/2 1:00 ET,10/2/2016,At Houston,-4,Tennessee,40.5,-$200 +$170,HOU,TEN
2016,4,10/2 1:00 ET,10/2/2016,At Baltimore,-3.5,Oakland,45,-$185 +$165,BAL,OAK
2016,4,10/2 4:05 ET,10/2/2016,Denver,-3.5,At Tampa Bay,43,-$185 +$165,TB,DEN
2016,4,10/2 4:25 ET,10/2/2016,Dallas,-1.5,At San Francisco,44,-$125 +$105,SF,DAL
2016,4,10/2 4:25 ET,10/2/2016,At San Diego,-4,New Orleans,54,-$200 +$170,SD,NO
2016,4,10/2 4:25 ET,10/2/2016,At Arizona,-9.5,Los Angeles,43.5,-$450 +$375,ARI,LA
2016,4,10/2 8:30 ET,10/2/2016,At Pittsburgh,-3.5,Kansas City,48.5,-$180 +$160,PIT,KC
2016,3,9/22 8:25 ET,9/22/2016,At New England,-1,Houston,38.5,-$115  -$105,NE,HOU
2016,3,9/25 1:00 ET,9/25/2016,At Cincinnati,-3.5,Denver,41.5,-$190 +$170,CIN,DEN
2016,3,9/25 1:00 ET,9/25/2016,Oakland,-1.5,At Tennessee,47,-$125 +$105,TEN,OAK
2016,3,9/25 1:00 ET,9/25/2016,Arizona,-5,At Buffalo,48,-$240 +$200,BUF,ARI
2016,3,9/25 1:00 ET,9/25/2016,Baltimore,-2,At Jacksonville,45,-$130 +$110,JAX,BAL
2016,3,9/25 1:00 ET,9/25/2016,At Miami,-10,Cleveland,42.5,-$450 +$350,MIA,CLE
2016,3,9/25 1:00 ET,9/25/2016,At NY Giants,-3.5,Washington,47,-$180 +$160,NYG,WAS
2016,3,9/25 1:00 ET,9/25/2016,At Green Bay,-6.5,Detroit,47.5,-$290 +$240,GB,DET
2016,3,9/25 1:00 ET,9/25/2016,At Carolina,-6.5,Minnesota,42.5,-$280 +$240,CAR,MIN
2016,3,9/25 4:05 ET,9/25/2016,At Seattle,-10.5,San Francisco,41.5,-$475 +$375,SEA,SF
2016,3,9/25 4:05 ET,9/25/2016,At Tampa Bay,-3.5,Los Angeles,40.5,-$180 +$160,TB,LA
2016,3,9/25 4:25 ET,9/25/2016,Pittsburgh,-4,At Philadelphia,46.5,-$205 +$175,PHI,PIT
2016,3,9/25 4:25 ET,9/25/2016,At Kansas City,-3,NY Jets,44.5,-$165 +$145,KC,NYJ
2016,3,9/25 4:25 ET,9/25/2016,At Indianapolis,-1.5,San Diego,51.5,-$125 +$105,IND,SD
2016,3,9/25 8:30 ET,9/25/2016,At Dallas,-6.5,Chicago,45,-$270 +$230,DAL,CHI
2016,2,9/15 8:25 ET,9/15/2016,At Buffalo, PK,NY Jets,40.5,-$110  -$110,BUF,NYJ
2016,2,9/18 1:00 ET,9/18/2016,At Detroit,-6,Tennessee,48,-$270 +$230,DET,TEN
2016,2,9/18 1:00 ET,9/18/2016,At Houston,-1,Kansas City,42,-$115  -$105,HOU,KC
2016,2,9/18 1:00 ET,9/18/2016,At New England,-5.5,Miami,42,-$255 +$215,NE,MIA
2016,2,9/18 1:00 ET,9/18/2016,Baltimore,-4.5,At Cleveland,42,-$225 +$185,CLE,BAL
2016,2,9/18 1:00 ET,9/18/2016,At Pittsburgh,-3,Cincinnati,48,-$170 +$150,PIT,CIN
2016,2,9/18 1:00 ET,9/18/2016,At Washington,-3,Dallas,47,-$180 +$160,WAS,DAL
2016,2,9/18 1:00 ET,9/18/2016,At NY Giants,-4,New Orleans,54.5,-$190 +$165,NYG,NO
2016,2,9/18 1:00 ET,9/18/2016,At Carolina,-12.5,San Francisco,44.5,-$675 +$475,CAR,SF
2016,2,9/18 4:05 ET,9/18/2016,At Arizona,-7,Tampa Bay,49.5,-$340 +$280,ARI,TB
2016,2,9/18 4:05 ET,9/18/2016,Seattle,-5.5,At Los Angeles,38,-$240 +$200,LA,SEA
2016,2,9/18 4:25 ET,9/18/2016,At Denver,-6,Indianapolis,47,-$270 +$230,DEN,IND
2016,2,9/18 4:25 ET,9/18/2016,At Oakland,-4,Atlanta,48,-$200 +$175,OAK,ATL
2016,2,9/18 4:25 ET,9/18/2016,At San Diego,-3,Jacksonville,47.5,-$155 +$135,SD,JAX
2016,2,9/18 8:30 ET,9/18/2016,Green Bay,-2,At Minnesota,43,-$130 +$110,MIN,GB
2016,2,9/19 8:35 ET,9/19/2016,At Chicago,-3,Philadelphia,43,-$160 +$140,CHI,PHI
2016,1,9/8 8:30 ET,9/8/2016,Carolina,-3,At Denver,40.5,-$160 +$140,DEN,CAR
2016,1,9/11 1:00 ET,9/11/2016,At Atlanta,-2.5,Tampa Bay,47,-$140 +$120,ATL,TB
2016,1,9/11 1:00 ET,9/11/2016,Minnesota,-2.5,At Tennessee,40,-$140 +$120,TEN,MIN
2016,1,9/11 1:00 ET,9/11/2016,At Philadelphia,-3.5,Cleveland,41,-$190 +$165,PHI,CLE
2016,1,9/11 1:00 ET,9/11/2016,Cincinnati,-1,At NY Jets,42,-$115  -$105,NYJ,CIN
2016,1,9/11 1:00 ET,9/11/2016,At New Orleans,-3,Oakland,50.5,-$150 +$130,NO,OAK
2016,1,9/11 1:00 ET,9/11/2016,At Kansas City,-6.5,San Diego,46,-$300 +$250,KC,SD
2016,1,9/11 1:00 ET,9/11/2016,At Baltimore,-3,Buffalo,44.5,-$160 +$140,BAL,BUF
2016,1,9/11 1:00 ET,9/11/2016,At Houston,-5.5,Chicago,42.5,-$250 +$210,HOU,CHI
2016,1,9/11 1:00 ET,9/11/2016,Green Bay,-3.5,At Jacksonville,47.5,-$180 +$160,JAX,GB
2016,1,9/11 4:05 ET,9/11/2016,At Seattle,-10.5,Miami,44,-$575 +$450,SEA,MIA
2016,1,9/11 4:25 ET,9/11/2016,NY Giants,-1,At Dallas,47.5,-$115  -$105,DAL,NYG
2016,1,9/11 4:25 ET,9/11/2016,At Indianapolis,-2.5,Detroit,51.5,-$145 +$125,IND,DET
